TipoRegistro,Fecha,Empleado,Cliente_Proveedor,NIF,Direccion,Productos,Cantidades,Precios,Total,MedioPago,Documento,Observaciones
COMPRA,2025/05/03,Ana García,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Kit reparación,5,"45,14",225.7,efectivo,Albarán #C-721,
COMPRA,2025.08.21,Pedro López,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Filtro aire,2,"13,78",27.56,bizum,Recomendación de uso #C-671,Falta confirmación
COMPRA,21-03-25,Pedro López,Suministros López,B23456789,"C/ Mayor 12, Madrid",Filtro aire;Adaptador 12V,7;10,"56,82;27.39",,tarjeta,Recomendación de uso #C-265,Garantía extendida
VENTA,06-06-25,Pedro López,ElectroMóvil,34567890H,"Av. Gran Vía 12, Madrid",Compresor portátil;Cable 2m;Adaptador 12V,8;8;8,"56,59;69,38;15.63",1132.8,bizum,Garantía #V-153,
VENTA,20-01-25,Ana García,Autorecambios Gil,56789012M,"C/ Palmera 1, Cádiz",Taladro 500W;Kit reparación;Filtro aire,6;1;7,"47.76;70.61;63,82",803.91,tarjeta,Factura #V-965,Pendiente pago
COMPRA,21/08/2025,Marta Ruiz,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Aceite lubricante,8,"41,59",332.72,tarjeta,Factura #C-998,
COMPRA,23-Feb-2025,Ana García,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Taladro 500W;Filtro aire;Kit reparación;Llave inglesa,6;5;6;8,"16,86;33.18;64.71;55,84",1102.04,bizum,Factura #C-717,Pendiente pago
COMPRA,2025-06-21,Pedro López,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Llave inglesa,2,66.01,132.02,bizum,Recomendación de uso #C-993,Duplicado
COMPRA,2025.07.22,Marta Ruiz,ServiTool SL,A12345987,"C/ Portugal 3, Alicante",Kit reparación,5,49.64,,transferencia,Garantía #C-413,Pendiente pago
VENTA,2025.05.16,Marta Ruiz,AutoQuick,88990011T,"C/ Toledo 5, Toledo",Taladro 500W,6,"3,05",18.3,transferencia,Etiqueta #V-850,Pendiente pago
COMPRA,2025/01/11,Javier Torres,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Llave inglesa;Filtro aire;Taladro 500W;Compresor portátil,5;2;6;9,"3,13;9.34;57,76;36,63",813.07,bizum,Recomendación de uso #C-790,Garantía extendida
COMPRA,09-10-25,Ana García,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Adaptador 12V;Aceite lubricante,3;6,"74,56;7,55",268.98,efectivo,Garantía #C-799,Entrega parcial
COMPRA,23/10/2025,Javier Torres,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Taladro 500W,7,"78,91",552.37,transferencia,Albarán #C-157,Garantía extendida
COMPRA,25-Jun-2025,Pedro López,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Taladro 500W;Kit reparación;Aceite lubricante,4;7;1,"9,49;9,34;8.38",111.72,transferencia,Etiqueta #C-183,Pendiente pago
VENTA,2025/05/26,Marta Ruiz,Motorline,55667788W,"C/ Castilla 22, Madrid",Llave inglesa,8,77.83,622.64,efectivo,Recomendación de uso #V-637,
VENTA,09/09/2025,Ana García,FixCar,66778899Q,"Av. Levante 12, Alicante",Batería 12V;Cable 2m;Llave inglesa,6;6;6,58.77;73.4;59.04,1147.26,bizum,Garantía #V-144,
VENTA,21-Aug-2025,Ana García,AutoMotor Sur,33445566J,"Ctra. Cádiz Km. 3, Jerez",Cable 2m;Taladro 500W;Kit reparación,2;10;2,"49,28;71.63;75.94",966.74,efectivo,Recomendación de uso #V-460,Pendiente pago
COMPRA,11-Mar-2025,Javier Torres,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Aceite lubricante;Llave inglesa,10;5,"57.42;77,41",,transferencia,Recomendación de uso #C-982,Duplicado
VENTA,04-04-25,Pedro López,Autorecambios Gil,56789012M,"C/ Palmera 1, Cádiz",Batería 12V,2,"15,84",31.68,efectivo,Etiqueta #V-503,Duplicado
VENTA,2025.05.02,Pedro López,Repuestos Hermanos Gil,22334455R,"C/ Prado 4, Córdoba",Llave inglesa;Filtro aire,2;10,"62.36;60,46",729.32,tarjeta,Albarán #V-504,
COMPRA,2025.04.19,Pedro López,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Filtro aire,6,36.81,220.86,efectivo,Albarán #C-830,Entrega parcial
COMPRA,22-Mar-2025,Marta Ruiz,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Filtro aire;Taladro 500W,4;10,"31,6;9,87",225.1,efectivo,Recomendación de uso #C-661,Garantía extendida
COMPRA,2025-04-24,Ana García,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Adaptador 12V;Cable 2m;Filtro aire;Compresor portátil,6;4;6;3,"53.5;47.73;66.9;19,55",971.97,bizum,Albarán #C-702,Falta confirmación
VENTA,12-04-25,Ana García,EconoCar,89012345Y,"C/ Madrid 8, Albacete",Llave inglesa,7,"18,71",,tarjeta,Garantía #V-112,
VENTA,21-Jun-2025,Javier Torres,FastFix,11223344P,"Av. Elche 14, Elche",Adaptador 12V;Cable 2m;Taladro 500W;Kit reparación,2;4;1;2,"21.41;17,11;40.59;71.68",295.21,efectivo,Albarán #V-788,
VENTA,2025-08-13,Javier Torres,ElectroMóvil,34567890H,"Av. Gran Vía 12, Madrid",Kit reparación,5,26.38,131.9,transferencia,Recomendación de uso #V-122,Duplicado
VENTA,27/05/2025,Marta Ruiz,AutoMotor Sur,33445566J,"Ctra. Cádiz Km. 3, Jerez",Filtro aire;Adaptador 12V;Kit reparación;Batería 12V,10;10;6;3,"53,99;24.16;49,64;55,9",1247.04,transferencia,Recomendación de uso #V-838,Garantía extendida
VENTA,2025.02.15,Javier Torres,Taller Mecánico López,99884433Z,"Av. Europa 2, Sevilla",Compresor portátil;Filtro aire,9;7,"65,32;21.69",739.71,transferencia,Albarán #V-166,Entrega parcial
COMPRA,2025/09/23,Ana García,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Cable 2m;Compresor portátil;Llave inglesa;Adaptador 12V,8;9;6;1,"21.04;46.67;75,11;39.27",1078.28,transferencia,Recomendación de uso #C-605,Falta confirmación
COMPRA,28-Apr-2025,Marta Ruiz,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Taladro 500W;Cable 2m;Llave inglesa,10;3;10,"74,14;23,54;9.72",882.93,tarjeta,Garantía #C-955,Pendiente pago
VENTA,2025.10.17,Marta Ruiz,Talleres Norte,11122233V,"C/ Mayor 44, Burgos",Kit reparación,7,"72,72",509.04,bizum,Albarán #V-619,Garantía extendida
VENTA,06-01-25,Ana García,ElectroFix,99887766G,"C/ Goya 3, Valencia",Batería 12V;Aceite lubricante,10;7,"25.61;6,22",299.64,tarjeta,Factura #V-113,Duplicado
VENTA,2025/06/11,Ana García,AutoService,66779988S,"C/ Sol 22, Málaga",Compresor portátil;Batería 12V;Taladro 500W,8;6;5,53.8;56.6;53.8,1039.0,efectivo,Garantía #V-226,Pendiente pago
VENTA,09-Apr-2025,Ana García,MotoRepara,87654321N,"C/ Montaña 4, Granada",Aceite lubricante;Batería 12V;Compresor portátil,5;1;6,78.75;39.15;61.23,800.28,transferencia,Factura #V-324,Entrega parcial
VENTA,09-Jun-2025,Ana García,AutoQuick,88990011T,"C/ Toledo 5, Toledo",Cable 2m,9,19.29,173.61,tarjeta,Recomendación de uso #V-366,
COMPRA,2025/09/06,Ana García,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Adaptador 12V;Batería 12V,6;5,"70.49;14,42",433.89,efectivo,Etiqueta #C-324,
COMPRA,2025.04.15,Pedro López,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Llave inglesa;Filtro aire;Compresor portátil;Batería 12V,8;10;4;8,"72.8;60,67;59,31;41.54",1758.66,efectivo,Albarán #C-675,Pendiente pago
COMPRA,22/01/2025,Marta Ruiz,Suministros López,B23456789,"C/ Mayor 12, Madrid",Taladro 500W;Adaptador 12V,7;8,"15,5;62.03",,transferencia,Etiqueta #C-935,
COMPRA,2025-05-19,Marta Ruiz,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Filtro aire;Kit reparación;Batería 12V;Llave inglesa,2;2;7;5,"9,98;69,25;44,68;8,37",513.07,transferencia,Etiqueta #C-752,
COMPRA,2025.06.08,Javier Torres,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Aceite lubricante,6,19.81,99.93,efectivo,Etiqueta #C-106,Pendiente pago
VENTA,2025.05.15,Marta Ruiz,FixCar,66778899Q,"Av. Levante 12, Alicante",Cable 2m;Batería 12V,2;3,"71,85;65.36",339.78,efectivo,Factura #V-784,Duplicado
VENTA,03-Jun-2025,Javier Torres,Talleres Norte,11122233V,"C/ Mayor 44, Burgos",Kit reparación,2,70.31,131.19,bizum,Garantía #V-831,Falta confirmación
COMPRA,27/01/2025,Marta Ruiz,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Compresor portátil;Aceite lubricante;Adaptador 12V;Filtro aire,8;5;1;3,"49,25;45.57;33.62;54.23",827.13,bizum,Garantía #C-930,Duplicado
COMPRA,2025-04-24,Pedro López,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Llave inglesa;Taladro 500W;Adaptador 12V,2;5;4,"11,6;74,32;43.26",567.84,tarjeta,Factura #C-389,Falta confirmación
COMPRA,21-May-2025,Pedro López,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Aceite lubricante;Compresor portátil;Cable 2m,9;2;2,"61,84;29.92;71,94",760.28,tarjeta,Garantía #C-919,
COMPRA,2025-01-02,Marta Ruiz,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Kit reparación,2,5.18,,tarjeta,Garantía #C-768,Garantía extendida
VENTA,2025.09.22,Marta Ruiz,Repara YA,77889900K,"C/ Valencia 6, Murcia",Filtro aire,6,"9,51",57.06,efectivo,Albarán #V-734,Entrega parcial
VENTA,2025-05-04,Pedro López,MotoRepara,87654321N,"C/ Montaña 4, Granada",Adaptador 12V;Cable 2m;Compresor portátil,9;5;6,"6,25;67.56;20,91",535.9,tarjeta,Etiqueta #V-402,Duplicado
VENTA,2025.04.14,Javier Torres,FastFix,11223344P,"Av. Elche 14, Elche",Filtro aire;Adaptador 12V,4;4,"73,56;76,74",601.2,bizum,Recomendación de uso #V-982,Entrega parcial
VENTA,2025/02/02,Pedro López,Taller Exprés,22113344J,"C/ Ronda 7, Zaragoza",Batería 12V,2,"59,11",118.22,tarjeta,Recomendación de uso #V-477,Entrega parcial
COMPRA,21/02/2025,Pedro López,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Filtro aire;Kit reparación,3;9,"56,25;78,4",874.35,bizum,Etiqueta #C-538,
COMPRA,2025/03/09,Ana García,Suministros López,B23456789,"C/ Mayor 12, Madrid",Kit reparación;Compresor portátil,4;6,"77,4;45.8",584.4,efectivo,Garantía #C-991,Garantía extendida
COMPRA,2025.09.21,Pedro López,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Adaptador 12V;Kit reparación;Compresor portátil,5;1;6,"56,52;50.44;14,43",,transferencia,Recomendación de uso #C-666,
COMPRA,21-06-25,Marta Ruiz,Suministros López,B23456789,"C/ Mayor 12, Madrid",Kit reparación;Taladro 500W;Llave inglesa;Adaptador 12V,6;8;6;7,"16.37;66,36;65.25;35,88",1271.76,transferencia,Etiqueta #C-945,Falta confirmación
VENTA,2025-06-27,Pedro López,ElectroMóvil,34567890H,"Av. Gran Vía 12, Madrid",Adaptador 12V;Compresor portátil;Taladro 500W;Kit reparación,7;1;7;5,"65,16;4,16;67,9;43,83",1154.73,bizum,Factura #V-111,Entrega parcial
VENTA,01/01/2025,Javier Torres,MotoRepara,87654321N,"C/ Montaña 4, Granada",Compresor portátil;Kit reparación;Adaptador 12V;Cable 2m,10;6;8;9,"14.16;36,92;36.12;47,11",917.38,bizum,Etiqueta #V-399,Entrega parcial
COMPRA,02-Oct-2025,Javier Torres,ServiTool SL,A12345987,"C/ Portugal 3, Alicante",Filtro aire;Aceite lubricante;Cable 2m,9;1;10,"43,62;60,49;75,82",1211.27,transferencia,Etiqueta #C-499,
VENTA,09/05/2025,Ana García,ElectroMóvil,34567890H,"Av. Gran Vía 12, Madrid",Compresor portátil;Taladro 500W;Kit reparación;Llave inglesa,3;6;10;10,"33.58;41.68;67,17;33.29",1175.6,bizum,Garantía #V-288,
VENTA,2025.10.16,Pedro López,Taller Mecánico López,99884433Z,"Av. Europa 2, Sevilla",Adaptador 12V;Cable 2m;Batería 12V;Filtro aire,4;7;1;8,"30.83;21,35;34.79;15.32",430.12,bizum,Etiqueta #V-616,
VENTA,15/08/2025,Pedro López,Repuestos Hermanos Gil,22334455R,"C/ Prado 4, Córdoba",Adaptador 12V;Filtro aire;Kit reparación;Batería 12V,2;2;5;4,"11.83;54,12;76.15;66.01",,efectivo,Garantía #V-527,Entrega parcial
VENTA,2025.03.04,Marta Ruiz,Autorecambios Gil,56789012M,"C/ Palmera 1, Cádiz",Compresor portátil;Filtro aire;Cable 2m,8;4;3,"51,46;62,85;46,23",801.77,bizum,Recomendación de uso #V-527,
VENTA,2025/08/08,Ana García,MotoRepara,87654321N,"C/ Montaña 4, Granada",Batería 12V;Cable 2m,7;10,"79,22;19,09",745.44,transferencia,Recomendación de uso #V-412,Garantía extendida
COMPRA,11-Apr-2025,Ana García,ServiTool SL,A12345987,"C/ Portugal 3, Alicante",Adaptador 12V,7,"34,93",244.51,transferencia,Factura #C-904,Garantía extendida
COMPRA,01-Apr-2025,Pedro López,Suministros López,B23456789,"C/ Mayor 12, Madrid",Compresor portátil,3,"40,33",117.22,transferencia,Recomendación de uso #C-852,Garantía extendida
VENTA,23/02/2025,Marta Ruiz,Taller Mecánico López,99884433Z,"Av. Europa 2, Sevilla",Taladro 500W,2,54.26,108.52,bizum,Etiqueta #V-409,Entrega parcial
COMPRA,2025-03-14,Javier Torres,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Adaptador 12V,2,"70,86",141.72,transferencia,Albarán #C-921,
COMPRA,2025.08.26,Ana García,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Llave inglesa,1,"66,58",73.26,tarjeta,Factura #C-530,
COMPRA,2025.08.11,Marta Ruiz,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Taladro 500W;Batería 12V,7;3,"30,56;58,89",390.59,bizum,Albarán #C-691,
COMPRA,2025.09.24,Pedro López,ServiTool SL,A12345987,"C/ Portugal 3, Alicante",Batería 12V;Adaptador 12V,8;4,61.38;39.23,647.96,efectivo,Albarán #C-685,Falta confirmación
VENTA,2025/06/08,Javier Torres,FastFix,11223344P,"Av. Elche 14, Elche",Aceite lubricante;Llave inglesa,7;9,"64.93;3,54",486.37,transferencia,Albarán #V-152,Falta confirmación
VENTA,2025/10/15,Marta Ruiz,Taller Exprés,22113344J,"C/ Ronda 7, Zaragoza",Cable 2m;Taladro 500W;Kit reparación,8;5;5,"23.46;64,37;18.28",600.93,efectivo,Garantía #V-136,
COMPRA,15-03-25,Javier Torres,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Kit reparación;Taladro 500W;Cable 2m;Batería 12V,1;2;5;7,"3,47;7,94;5,33;19,3",,bizum,Etiqueta #C-671,Entrega parcial
VENTA,2025-01-27,Javier Torres,AutoQuick,88990011T,"C/ Toledo 5, Toledo",Filtro aire,5,"29,75",148.75,efectivo,Etiqueta #V-912,Duplicado
COMPRA,2025/05/13,Pedro López,Suministros López,B23456789,"C/ Mayor 12, Madrid",Adaptador 12V;Compresor portátil,3;10,"32,18;9,31",189.64,transferencia,Recomendación de uso #C-187,Entrega parcial
VENTA,19-04-25,Pedro López,AutoMotor Sur,33445566J,"Ctra. Cádiz Km. 3, Jerez",Cable 2m;Taladro 500W;Filtro aire,4;9;5,"55,49;46.92;79.19",1040.19,transferencia,Garantía #V-728,Pendiente pago
VENTA,05-Apr-2025,Javier Torres,FixCar,66778899Q,"Av. Levante 12, Alicante",Cable 2m;Kit reparación,3;1,49.65;58.25,207.2,efectivo,Garantía #V-814,Garantía extendida
COMPRA,01/02/2025,Marta Ruiz,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Filtro aire;Llave inglesa;Adaptador 12V,5;6;1,"17,6;75.14;46,15",,tarjeta,Factura #C-465,Falta confirmación
VENTA,2025/07/24,Marta Ruiz,FixCar,66778899Q,"Av. Levante 12, Alicante",Llave inglesa;Cable 2m;Filtro aire;Aceite lubricante,3;9;5;2,"37.64;20,23;73.52;19,83",702.25,tarjeta,Etiqueta #V-367,Pendiente pago
VENTA,26-01-25,Marta Ruiz,RefriCar,23456789L,"C/ Paz 2, León",Aceite lubricante;Kit reparación;Batería 12V,8;5;2,"6.8;13,65;44,77",172.39,efectivo,Albarán #V-250,Entrega parcial
VENTA,2025-01-08,Ana García,Taller Mecánico López,99884433Z,"Av. Europa 2, Sevilla",Filtro aire;Llave inglesa,2;9,"9.29;74,42",688.36,tarjeta,Etiqueta #V-733,
VENTA,2025/09/01,Pedro López,FastFix,11223344P,"Av. Elche 14, Elche",Compresor portátil;Llave inglesa,2;4,79.7;32.37,288.88,tarjeta,Factura #V-458,Entrega parcial
VENTA,2025/09/19,Marta Ruiz,Taller Mecánico Ruiz,28954632Z,"Av. Andalucía 8, Sevilla",Compresor portátil;Cable 2m,2;9,21.65;64.12,620.38,efectivo,Garantía #V-559,
VENTA,2025.01.19,Ana García,MotoRepara,87654321N,"C/ Montaña 4, Granada",Batería 12V;Adaptador 12V;Taladro 500W,1;9;7,"23,43;44,64;3,83",452.0,bizum,Garantía #V-367,Duplicado
COMPRA,2025-04-04,Pedro López,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Aceite lubricante;Batería 12V,4;3,"43.86;32,78",237.23,bizum,Etiqueta #C-826,
VENTA,2025-03-14,Ana García,Talleres Norte,11122233V,"C/ Mayor 44, Burgos",Aceite lubricante;Filtro aire;Taladro 500W;Batería 12V,4;3;7;2,"56,36;21,91;46.2;56.76",,transferencia,Recomendación de uso #V-665,
VENTA,04/09/2025,Pedro López,AutoMotor Sur,33445566J,"Ctra. Cádiz Km. 3, Jerez",Aceite lubricante;Filtro aire;Taladro 500W;Compresor portátil,7;5;8;9,"32,67;17,81;73,28;14.66",1035.92,efectivo,Albarán #V-376,Garantía extendida
COMPRA,23-01-25,Ana García,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Taladro 500W;Batería 12V;Cable 2m;Compresor portátil,4;10;3;3,"51.11;68.58;48,91;36.4",1146.17,efectivo,Recomendación de uso #C-931,
COMPRA,2025-06-11,Javier Torres,Suministros López,B23456789,"C/ Mayor 12, Madrid",Kit reparación,3,"11,42",37.18,efectivo,Garantía #C-500,Garantía extendida
VENTA,2025.01.23,Ana García,Autorecambios Gil,56789012M,"C/ Palmera 1, Cádiz",Adaptador 12V;Taladro 500W;Llave inglesa,3;6;8,17.25;14.45;54.38,573.49,transferencia,Recomendación de uso #V-309,
VENTA,11-01-25,Ana García,RefriCar,23456789L,"C/ Paz 2, León",Batería 12V;Llave inglesa;Kit reparación,10;3;8,"39,32;38.36;60,55",1043.12,bizum,Albarán #V-377,
COMPRA,2025.08.04,Marta Ruiz,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Kit reparación,6,41.74,250.44,transferencia,Factura #C-908,Pendiente pago
COMPRA,2025/03/14,Javier Torres,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Llave inglesa;Compresor portátil;Kit reparación;Taladro 500W,6;7;2;2,"38,8;30.01;12.4;29.5",526.67,transferencia,Garantía #C-346,Garantía extendida
VENTA,03/10/2025,Ana García,Electrodomésticos Sol,C11223344,"Calle Real 45, Málaga",Llave inglesa;Adaptador 12V,4;5,39.61;60.13,459.09,tarjeta,Albarán #V-386,Garantía extendida
COMPRA,25-08-25,Javier Torres,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Filtro aire;Kit reparación;Adaptador 12V,6;2;5,"7,51;40,84;69,06",472.04,efectivo,Etiqueta #C-511,Garantía extendida
VENTA,07/06/2025,Ana García,FastFix,11223344P,"Av. Elche 14, Elche",Kit reparación,9,"22,42",201.78,bizum,Garantía #V-319,Pendiente pago
VENTA,2025-03-15,Ana García,EconoCar,89012345Y,"C/ Madrid 8, Albacete",Kit reparación;Taladro 500W,7;7,"72,75;77.27",1050.14,bizum,Etiqueta #V-794,Pendiente pago
VENTA,15-Apr-2025,Marta Ruiz,Taller Mecánico Ruiz,28954632Z,"Av. Andalucía 8, Sevilla",Batería 12V;Kit reparación;Filtro aire;Adaptador 12V,8;9;5;1,"10.0;20.72;41,98;64,81",541.19,transferencia,Etiqueta #V-404,Garantía extendida
VENTA,07/10/2025,Ana García,AutoQuick,88990011T,"C/ Toledo 5, Toledo",Kit reparación;Taladro 500W,5;3,66.83;5.26,349.93,transferencia,Garantía #V-405,Duplicado
COMPRA,2025/05/02,Marta Ruiz,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Kit reparación;Aceite lubricante;Taladro 500W;Adaptador 12V,2;5;3;7,"62,87;41.25;6.1;5,71",390.26,efectivo,Albarán #C-369,Falta confirmación
COMPRA,2025/04/07,Pedro López,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Llave inglesa;Cable 2m;Aceite lubricante,6;4;3,11.82;62.2;57.73,492.91,bizum,Recomendación de uso #C-574,Falta confirmación
COMPRA,2025.10.22,Javier Torres,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Llave inglesa;Batería 12V;Adaptador 12V;Kit reparación,10;4;9;9,22.71;50.99;53.28;50.58,1365.8,tarjeta,Albarán #C-897,Falta confirmación
COMPRA,10-Aug-2025,Javier Torres,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Compresor portátil;Cable 2m,9;1,59.07;67.56,599.19,efectivo,Garantía #C-381,Pendiente pago
VENTA,2025.04.27,Ana García,Talleres Norte,11122233V,"C/ Mayor 44, Burgos",Compresor portátil;Taladro 500W,8;9,"61,79;76.58",1183.54,tarjeta,Albarán #V-390,Garantía extendida
